PublicationDate,countryName,reportingYear,EPRTR_SectorCode,EPRTR_SectorName,Pollutant,Releases
2025/12/15,Germany,2008,4,Chemical industry,"1,2,3,4,5,6-hexachlorocyclohexane (HCH)",11.7
2025/12/15,Austria,2018,8,Animal and vegetable products from the food and beverage sector,Total phosphorus,14570
2025/12/15,Belgium,2011,4,Chemical industry,Tetrachloromethane (TCM),12.3
2025/12/15,Serbia,2012,4,Chemical industry,Arsenic and compounds (as As),9
2025/12/15,Belgium,2013,4,Chemical industry,Atrazine,5.71
2025/12/15,Croatia,2022,1,Energy sector,Mercury and compounds (as Hg),1.55
2025/12/15,Finland,2014,1,Energy sector,Fluorides (as total F),4700
2025/12/15,Poland,2014,7,Intensive livestock production and aquaculture,Arsenic and compounds (as As),6.27
2025/12/15,Greece,2016,4,Chemical industry,Total nitrogen,239000
2025/12/15,Austria,2018,6,Paper and wood production and processing,Lead and compounds (as Pb),110
2025/12/15,Norway,2013,5,Waste and wastewater management,Cadmium and compounds (as Cd),11.24
2025/12/15,Slovakia,2022,4,Chemical industry,Total nitrogen,91400
2025/12/15,Belgium,2013,1,Energy sector,Chlorides (as total Cl),7640000
2025/12/15,Slovakia,2022,1,Energy sector,Phenols (as total C),1630
2025/12/15,Netherlands,2014,2,Production and processing of metals,Total phosphorus,8590
2025/12/15,Serbia,2012,1,Energy sector,Nickel and compounds (as Ni),1074
2025/12/15,Sweden,2012,4,Chemical industry,Phenols (as total C),28
2025/12/15,Italy,2019,1,Energy sector,Halogenated organic compounds (as AOX),10785.4374
2025/12/15,Norway,2017,5,Waste and wastewater management,Total phosphorus,289200
2025/12/15,Portugal,2007,6,Paper and wood production and processing,Lead and compounds (as Pb),62.6
2025/12/15,Spain,2022,5,Waste and wastewater management,Total nitrogen,45972600
2025/12/15,Spain,2013,5,Waste and wastewater management,Halogenated organic compounds (as AOX),455750
2025/12/15,Netherlands,2021,5,Waste and wastewater management,Chlorides (as total Cl),208640000
2025/12/15,Germany,2011,1,Energy sector,Nickel and compounds (as Ni),2398.4
2025/12/15,Italy,2013,5,Waste and wastewater management,Zinc and compounds (as Zn),261148
2025/12/15,Bulgaria,2011,5,Waste and wastewater management,Cadmium and compounds (as Cd),918
2025/12/15,United Kingdom,2018,5,Waste and wastewater management,Anthracene,122.44000000000001
2025/12/15,United Kingdom,2017,5,Waste and wastewater management,Chlorides (as total Cl),453960000
2025/12/15,Spain,2016,1,Energy sector,Zinc and compounds (as Zn),5586
2025/12/15,Sweden,2009,1,Energy sector,Arsenic and compounds (as As),14.3
2025/12/15,Finland,2016,5,Waste and wastewater management,Zinc and compounds (as Zn),11897
2025/12/15,Bulgaria,2014,4,Chemical industry,Total nitrogen,181000
2025/12/15,Denmark,2013,5,Waste and wastewater management,PCDD + PCDF (dioxins + furans) (as Teq),0.000118
2025/12/15,Poland,2012,5,Waste and wastewater management,Mercury and compounds (as Hg),291
2025/12/15,United Kingdom,2013,5,Waste and wastewater management,Halogenated organic compounds (as AOX),527800
2025/12/15,Germany,2019,5,Waste and wastewater management,Mercury and compounds (as Hg),73.39
