PublicationDate,countryName,reportingYear,EPRTR_SectorCode,EPRTR_SectorName,EPRTRAnnexIMainActivity,Pollutant,Releases
2025/12/15,Belgium,2009,4,Chemical industry,4(a)(viii),Nitrogen oxides (NOX),580000
2025/12/15,Hungary,2016,4,Chemical industry,4(b),Nitrogen oxides (NOX),454000
2025/12/15,Netherlands,2012,5,Waste and wastewater management,5(f),Nitrogen oxides (NOX),331000
2025/12/15,France,2009,2,Production and processing of metals,2(c)(i),Ammonia (NH3),1090000
2025/12/15,Bulgaria,2019,4,Chemical industry,4(a)(viii),Carbon dioxide (CO2) excluding biomass,615056727
2025/12/15,Netherlands,2008,4,Chemical industry,4(a)(i),Naphthalene,455
2025/12/15,Poland,2021,2,Production and processing of metals,2(b),Lead and compounds (as Pb),2178
2025/12/15,Romania,2017,2,Production and processing of metals,2(e)(i),Carbon dioxide (CO2),395000000
2025/12/15,Germany,2023,9,Other activities,9(c),Nitrogen oxides (NOX),346000
2025/12/15,United Kingdom,2016,5,Waste and wastewater management,5(c),Nitrous oxide (N2O),21500
2025/12/15,United Kingdom,2014,7,Intensive livestock production and aquaculture,7(a),Methane (CH4),158000
2025/12/15,Switzerland,2009,3,Mineral industry,3(c)(i),Benzene,20910
2025/12/15,France,2021,2,Production and processing of metals,2(e)(i),Zinc and compounds (as Zn),3075
2025/12/15,Denmark,2021,2,Production and processing of metals,2(c)(i),Carbon dioxide (CO2),107718000
2025/12/15,Greece,2016,3,Mineral industry,3(b),Carbon monoxide (CO),953000
2025/12/15,Finland,2016,5,Waste and wastewater management,5(c),Methane (CH4),2445000
2025/12/15,Hungary,2009,3,Mineral industry,3(g),Carbon monoxide (CO),669000
2025/12/15,United Kingdom,2009,8,Animal and vegetable products from the food and beverage sector,8(c),Nickel and compounds (as Ni),145
2025/12/15,Ireland,2009,4,Chemical industry,4(b)(v),Nickel and compounds (as Ni),774
2025/12/15,Portugal,2016,2,Production and processing of metals,2(b),Mercury and compounds (as Hg),63
2025/12/15,Greece,2022,4,Chemical industry,4(c),Nitrous oxide (N2O),25200
2025/12/15,Belgium,2014,2,Production and processing of metals,2(b),Lead and compounds (as Pb),11940
2025/12/15,France,2010,4,Chemical industry,4(a)(vi),Non-methane volatile organic compounds (NMVOC),933000
2025/12/15,Lithuania,2019,6,Paper and wood production and processing,6(b),Nitrogen oxides (NOX),153000
2025/12/15,Switzerland,2018,4,Chemical industry,4(a)(xi),Sulphur oxides (SOX),10
2025/12/15,United Kingdom,2011,5,Waste and wastewater management,5(b),Mercury and compounds (as Hg),77
2025/12/15,France,2023,8,Animal and vegetable products from the food and beverage sector,8(b)(ii),Particulate matter (PM10),78300
2025/12/15,Slovakia,2007,2,Production and processing of metals,2(e)(i),Zinc and compounds (as Zn),871
2025/12/15,Spain,2008,4,Chemical industry,4(a)(ii),Carbon monoxide (CO),7270000
2025/12/15,Belgium,2020,5,Waste and wastewater management,5(b),Zinc and compounds (as Zn),512
2025/12/15,Netherlands,2013,4,Chemical industry,4(a)(viii),Naphthalene,167
2025/12/15,Latvia,2009,3,Mineral industry,3(c)(i),Mercury and compounds (as Hg),13.9
2025/12/15,Poland,2021,4,Chemical industry,4(b),Nitrogen oxides (NOX),2695000
2025/12/15,France,2009,4,Chemical industry,4(a)(ix),Hydrochlorofluorocarbons (HCFCs),179
2025/12/15,Sweden,2013,2,Production and processing of metals,2(b),Nickel and compounds (as Ni),725
2025/12/15,Germany,2019,4,Chemical industry,4(b)(i),Nitrous oxide (N2O),17000
2025/12/15,Denmark,2019,3,Mineral industry,3(c)(i),Carbon monoxide (CO),4600000
2025/12/15,Italy,2014,6,Paper and wood production and processing,6(b),Mercury and compounds (as Hg),49.6
2025/12/15,Hungary,2010,1,Energy sector,1(d),Sulphur oxides (SOX),252000
2025/12/15,Slovakia,2017,2,Production and processing of metals,2(f),Copper and compounds (as Cu),177
2025/12/15,Ireland,2007,3,Mineral industry,3(c)(i),Sulphur oxides (SOX),1470000
2025/12/15,Slovenia,2009,2,Production and processing of metals,2(e)(i),Fluorine and inorganic compounds (as HF),14500
2025/12/15,United Kingdom,2007,2,Production and processing of metals,2(b),Copper and compounds (as Cu),1270
2025/12/15,Germany,2016,4,Chemical industry,4(b)(i),Carbon monoxide (CO),984000
2025/12/15,Slovenia,2012,2,Production and processing of metals,2(e)(ii),Copper and compounds (as Cu),133
2025/12/15,France,2021,2,Production and processing of metals,2(b),Hydro-fluorocarbons (HFCS),725
2025/12/15,France,2010,2,Production and processing of metals,2(b),Methane (CH4),910000
2025/12/15,United Kingdom,2014,4,Chemical industry,4(e),Nitrogen oxides (NOX),189000
2025/12/15,Switzerland,2022,4,Chemical industry,4(a)(viii),Nitrogen oxides (NOX),150
2025/12/15,Slovenia,2008,1,Energy sector,1(c),Particulate matter (PM10),202000
