PublicationDate,countryName,reportingYear,Pollutant,transfers
2025/12/15,Switzerland,2014,Lead and compounds (as Pb),22
2025/12/15,Switzerland,2014,Tributyltin and compounds,2.45
2025/12/15,Switzerland,2015,Diuron,13
2025/12/15,Switzerland,2015,Fluorides (as total F),51540
2025/12/15,Switzerland,2015,Nonylphenol and Nonylphenol ethoxylates,48
2025/12/15,Switzerland,2016,Chlorides (as total Cl),38300000
2025/12/15,Switzerland,2017,Lead and compounds (as Pb),121
2025/12/15,Switzerland,2017,Tributyltin and compounds,1.81
2025/12/15,Switzerland,2018,Fluorides (as total F),30140
2025/12/15,Switzerland,2019,Chlorides (as total Cl),44972020
2025/12/15,Switzerland,2020,Lead and compounds (as Pb),7.681
2025/12/15,Switzerland,2021,Fluorides (as total F),44300
2025/12/15,Switzerland,2022,Chlorides (as total Cl),41580800
2025/12/15,United Kingdom,2007,Trichloromethane,371.3
2025/12/15,United Kingdom,2007,Xylenes,31115
2025/12/15,United Kingdom,2008,Cadmium and compounds (as Cd),569.4
2025/12/15,United Kingdom,2008,DDT (DDT),1.22
2025/12/15,United Kingdom,2008,Tetrachloroethylene,211
2025/12/15,United Kingdom,2009,Cyanides (as total CN),94011
2025/12/15,United Kingdom,2010,Anthracene,728.73
2025/12/15,United Kingdom,2010,Nickel and compounds (as Ni),6155.3
2025/12/15,United Kingdom,2010,Trichloromethane,110.2
2025/12/15,United Kingdom,2010,Xylenes,31693
2025/12/15,United Kingdom,2011,Cadmium and compounds (as Cd),52.14
2025/12/15,United Kingdom,2011,Tetrachloroethylene,477
2025/12/15,United Kingdom,2012,Cyanides (as total CN),36563
2025/12/15,United Kingdom,2012,Diuron,62.7
2025/12/15,United Kingdom,2012,Hydro-fluorocarbons (HFCS),1e-5
2025/12/15,United Kingdom,2012,Perfluorocarbons (PFCs),1e-5
2025/12/15,United Kingdom,2012,Polycyclic aromatic hydrocarbons (PAHs),40.3
2025/12/15,United Kingdom,2013,Anthracene,42.2
2025/12/15,United Kingdom,2013,Nickel and compounds (as Ni),3050.5
2025/12/15,United Kingdom,2013,Xylenes,7659
2025/12/15,United Kingdom,2014,"1,2-dichloroethane (DCE-1,2)",298.8
2025/12/15,United Kingdom,2014,Cadmium and compounds (as Cd),93.74
2025/12/15,United Kingdom,2014,Chlorine and inorganic compounds (as HCl),800000
2025/12/15,United Kingdom,2015,Diuron,51.75
2025/12/15,United Kingdom,2015,Polycyclic aromatic hydrocarbons (PAHs),13.9
2025/12/15,United Kingdom,2016,Anthracene,2.55
2025/12/15,United Kingdom,2016,Nickel and compounds (as Ni),3558
2025/12/15,United Kingdom,2016,Xylenes,8348
2025/12/15,United Kingdom,2017,"1,2-dichloroethane (DCE-1,2)",11.6
2025/12/15,United Kingdom,2017,Cadmium and compounds (as Cd),52.599999999999994
2025/12/15,United Kingdom,2018,Diuron,56.190000000000005
2025/12/15,United Kingdom,2018,Pentachlorophenol (PCP),12.12
2025/12/15,United Kingdom,2018,Polycyclic aromatic hydrocarbons (PAHs),168.4
2025/12/15,United Kingdom,2019,Anthracene,102
2025/12/15,United Kingdom,2019,Copper and compounds (as Cu),2146.5
2025/12/15,United Kingdom,2019,Nickel and compounds (as Ni),3158.9
2025/12/15,Austria,2007,Total phosphorus,87820
2025/12/15,Austria,2007,Trichloromethane,27
2025/12/15,Austria,2007,Xylenes,2519
2025/12/15,Austria,2008,Cadmium and compounds (as Cd),26.9
2025/12/15,Austria,2010,Total nitrogen,915600
2025/12/15,Austria,2010,Xylenes,4084
2025/12/15,Austria,2011,Cadmium and compounds (as Cd),39.4
2025/12/15,Austria,2011,Octylphenols and Octylphenol ethoxylates,3.7
2025/12/15,Austria,2012,"Benzo(g,h,i)perylene",37.81
2025/12/15,Austria,2013,Total nitrogen,896400
2025/12/15,Austria,2013,Xylenes,2570
2025/12/15,Austria,2014,Cadmium and compounds (as Cd),21.2
2025/12/15,Austria,2014,Octylphenols and Octylphenol ethoxylates,69.28
2025/12/15,Austria,2015,"Benzo(g,h,i)perylene",35.58
2025/12/15,Austria,2015,Polycyclic aromatic hydrocarbons (PAHs),83.7
2025/12/15,Austria,2015,Toluene,10800
2025/12/15,Austria,2016,Total nitrogen,1256600
2025/12/15,Austria,2016,Xylenes,3980
2025/12/15,Austria,2017,Cadmium and compounds (as Cd),20.5
2025/12/15,Austria,2018,Benzene,33300
2025/12/15,Austria,2018,"Benzo(g,h,i)perylene",36.29
2025/12/15,Austria,2018,Mercury and compounds (as Hg),1.2
2025/12/15,Austria,2018,Pentachlorophenol (PCP),8.05
2025/12/15,Austria,2018,Toluene,7770
2025/12/15,Austria,2019,Copper and compounds (as Cu),699
2025/12/15,Austria,2019,Total nitrogen,1357200
2025/12/15,Austria,2020,Di-(2-ethyl hexyl) phthalate (DEHP),59.55
2025/12/15,Austria,2021,Benzene,65600
2025/12/15,Austria,2021,"Benzo(g,h,i)perylene",38.18
2025/12/15,Austria,2021,Mercury and compounds (as Hg),2.58
2025/12/15,Austria,2021,Pentachlorophenol (PCP),8.96
2025/12/15,Austria,2021,Polycyclic aromatic hydrocarbons (PAHs),311.2
2025/12/15,Austria,2021,Toluene,11900
2025/12/15,Austria,2022,Copper and compounds (as Cu),536
2025/12/15,Austria,2023,Di-(2-ethyl hexyl) phthalate (DEHP),25.8
2025/12/15,Austria,2024,Benzene,58700
2025/12/15,Austria,2024,Mercury and compounds (as Hg),3.96
2025/12/15,Austria,2024,Pentachlorophenol (PCP),3.48
2025/12/15,Belgium,2007,Cadmium and compounds (as Cd),15.3
2025/12/15,Belgium,2008,Chromium and compounds (as Cr),485
2025/12/15,Belgium,2008,Polycyclic aromatic hydrocarbons (PAHs),118.11
2025/12/15,Belgium,2008,Toluene,545
2025/12/15,Belgium,2009,Copper and compounds (as Cu),599.1
2025/12/15,Belgium,2009,Total nitrogen,288200
2025/12/15,Belgium,2010,Di-(2-ethyl hexyl) phthalate (DEHP),8.85
2025/12/15,Belgium,2011,Chromium and compounds (as Cr),209.1
2025/12/15,Belgium,2011,Polycyclic aromatic hydrocarbons (PAHs),111
2025/12/15,Belgium,2012,Copper and compounds (as Cu),258
2025/12/15,Belgium,2014,Pentachlorophenol (PCP),14.1
2025/12/15,Belgium,2015,Copper and compounds (as Cu),175.6
2025/12/15,Belgium,2016,Di-(2-ethyl hexyl) phthalate (DEHP),2.39
2025/12/15,Belgium,2016,Halogenated organic compounds (as AOX),1620
2025/12/15,Belgium,2018,Copper and compounds (as Cu),309
2025/12/15,Belgium,2018,Ethylene oxide,21.2
2025/12/15,Belgium,2019,Di-(2-ethyl hexyl) phthalate (DEHP),11.5
2025/12/15,Belgium,2019,Halogenated organic compounds (as AOX),3010
2025/12/15,Belgium,2022,Halogenated organic compounds (as AOX),1110
2025/12/15,Belgium,2023,Total organic carbon(as total C or COD/3) (TOC),1852800
2025/12/15,Belgium,2024,Dichloromethane (DCM),22
2025/12/15,Bulgaria,2007,Zinc and compounds (as Zn),46613
2025/12/15,Bulgaria,2008,Lead and compounds (as Pb),15188
2025/12/15,Bulgaria,2009,Phenols (as total C),24.5
2025/12/15,Bulgaria,2010,Zinc and compounds (as Zn),19676
2025/12/15,Bulgaria,2011,Halogenated organic compounds (as AOX),1210
2025/12/15,Bulgaria,2011,Lead and compounds (as Pb),8157
2025/12/15,Bulgaria,2012,Phenols (as total C),927
2025/12/15,Bulgaria,2017,Chromium and compounds (as Cr),64.7
2025/12/15,Bulgaria,2022,Fluorides (as total F),401702
2025/12/15,Bulgaria,2023,Chromium and compounds (as Cr),145
2025/12/15,Croatia,2014,Phenols (as total C),78.3
2025/12/15,Croatia,2015,Nonylphenol and Nonylphenol ethoxylates,1.85
2025/12/15,Croatia,2019,Nickel and compounds (as Ni),31.6
2025/12/15,Croatia,2024,Dichloromethane (DCM),10.1
2025/12/15,Croatia,2024,Trichloromethane,14.3
2025/12/15,Cyprus,2016,Phenols (as total C),67.9
2025/12/15,Cyprus,2018,Copper and compounds (as Cu),52.1
2025/12/15,Czechia,2007,Fluorides (as total F),22290
2025/12/15,Czechia,2007,Phenols (as total C),460741
2025/12/15,Czechia,2007,Polycyclic aromatic hydrocarbons (PAHs),140.41
2025/12/15,Czechia,2007,Toluene,13100
2025/12/15,Czechia,2008,Arsenic and compounds (as As),8.81
2025/12/15,Czechia,2008,Chlorides (as total Cl),29440000
2025/12/15,Czechia,2008,Cyanides (as total CN),9990
2025/12/15,Czechia,2008,Zinc and compounds (as Zn),45387
2025/12/15,Czechia,2009,Lead and compounds (as Pb),181.4
2025/12/15,Czechia,2010,Fluorides (as total F),23400
2025/12/15,Czechia,2010,Phenols (as total C),167588
2025/12/15,Czechia,2010,Polycyclic aromatic hydrocarbons (PAHs),61.5
2025/12/15,Czechia,2011,Arsenic and compounds (as As),86.77
2025/12/15,Czechia,2011,Chlorides (as total Cl),26710000
2025/12/15,Czechia,2011,Cyanides (as total CN),6990
2025/12/15,Czechia,2011,Zinc and compounds (as Zn),56171
2025/12/15,Czechia,2012,Lead and compounds (as Pb),534.2
2025/12/15,Czechia,2012,Nickel and compounds (as Ni),3634.3
2025/12/15,Czechia,2013,Ethyl benzene,1180
2025/12/15,Czechia,2013,Fluorides (as total F),20830
2025/12/15,Czechia,2013,Phenols (as total C),412332.3
2025/12/15,Czechia,2014,Chlorides (as total Cl),39500000
2025/12/15,Czechia,2014,Cyanides (as total CN),7447.1
2025/12/15,Czechia,2015,Nickel and compounds (as Ni),3493.7999999999997
2025/12/15,Czechia,2016,"1,2-dichloroethane (DCE-1,2)",25.1
2025/12/15,Czechia,2017,Cyanides (as total CN),6840
2025/12/15,Czechia,2018,Nickel and compounds (as Ni),5484.897240000001
2025/12/15,Czechia,2019,"1,2-dichloroethane (DCE-1,2)",10
2025/12/15,Czechia,2019,Ethyl benzene,718.74
2025/12/15,Czechia,2021,Hexachlorobenzene (HCB),1.8
2025/12/15,Czechia,2021,Nickel and compounds (as Ni),15200.902465
2025/12/15,Czechia,2022,"1,2-dichloroethane (DCE-1,2)",0.012
2025/12/15,Denmark,2010,Polycyclic aromatic hydrocarbons (PAHs),44.1
2025/12/15,Denmark,2011,Zinc and compounds (as Zn),182
2025/12/15,Denmark,2013,Polycyclic aromatic hydrocarbons (PAHs),26
2025/12/15,Denmark,2014,Chlorides (as total Cl),25300000
2025/12/15,Denmark,2016,Polycyclic aromatic hydrocarbons (PAHs),107.1
2025/12/15,Denmark,2017,Arsenic and compounds (as As),14.9
2025/12/15,Denmark,2017,Chlorides (as total Cl),3900000
2025/12/15,Denmark,2018,Di-(2-ethyl hexyl) phthalate (DEHP),5.4518390000000005
2025/12/15,Denmark,2020,Chlorides (as total Cl),10575801.919999998
2025/12/15,Denmark,2020,Copper and compounds (as Cu),34.253235
2025/12/15,Denmark,2020,Cyanides (as total CN),0.287
2025/12/15,Denmark,2021,Di-(2-ethyl hexyl) phthalate (DEHP),3.7516499999999997
2025/12/15,Denmark,2021,Nickel and compounds (as Ni),28.556516
2025/12/15,Denmark,2022,Ethyl benzene,0
2025/12/15,Denmark,2023,Copper and compounds (as Cu),30.463099999999997
2025/12/15,Denmark,2024,Di-(2-ethyl hexyl) phthalate (DEHP),4.488250000000001
2025/12/15,Denmark,2024,Halogenated organic compounds (as AOX),4.736
2025/12/15,Denmark,2024,Nickel and compounds (as Ni),34.783
2025/12/15,Estonia,2008,Total nitrogen,198000
2025/12/15,Finland,2007,Phenols (as total C),27740
2025/12/15,Finland,2008,Benzene,1600
2025/12/15,Finland,2009,Copper and compounds (as Cu),413
2025/12/15,Finland,2009,Xylenes,205
2025/12/15,Finland,2010,Phenols (as total C),27666
2025/12/15,Finland,2011,Benzene,1930
2025/12/15,Finland,2012,Copper and compounds (as Cu),231.1
2025/12/15,Finland,2012,Xylenes,436
2025/12/15,Finland,2014,"1,2,3,4,5,6-hexachlorocyclohexane (HCH)",120000
2025/12/15,Finland,2014,Benzene,1320
2025/12/15,Finland,2014,Nonylphenol and Nonylphenol ethoxylates,1.17
2025/12/15,Finland,2015,Copper and compounds (as Cu),756.4
2025/12/15,Finland,2017,"1,2,3,4,5,6-hexachlorocyclohexane (HCH)",551
2025/12/15,Finland,2017,Fluorides (as total F),127000
2025/12/15,Finland,2017,Toluene,512
2025/12/15,Finland,2020,Toluene,218
2025/12/15,Finland,2020,Total organic carbon(as total C or COD/3) (TOC),7326600
2025/12/15,Finland,2023,Cadmium and compounds (as Cd),5.5
2025/12/15,Finland,2023,Total organic carbon(as total C or COD/3) (TOC),6865800
2025/12/15,France,2007,Arsenic and compounds (as As),61.95
2025/12/15,France,2007,Chlorides (as total Cl),113360000
2025/12/15,France,2007,Chromium and compounds (as Cr),13122
2025/12/15,France,2007,Mercury and compounds (as Hg),70.28999999999999
2025/12/15,France,2008,Lead and compounds (as Pb),909.2
2025/12/15,France,2009,Fluorides (as total F),447980
2025/12/15,France,2009,Vinyl chloride,40.4
2025/12/15,France,2010,Arsenic and compounds (as As),97.84
2025/12/15,France,2010,"Benzo(g,h,i)perylene",3.1
2025/12/15,France,2010,Chlorides (as total Cl),22690000
2025/12/15,France,2010,Chromium and compounds (as Cr),16339
2025/12/15,France,2010,Mercury and compounds (as Hg),38.82
2025/12/15,France,2011,Lead and compounds (as Pb),298.5
2025/12/15,France,2012,Fluorides (as total F),159850
2025/12/15,France,2012,Vinyl chloride,66.4
2025/12/15,France,2013,Chlorides (as total Cl),35070000
2025/12/15,France,2013,Mercury and compounds (as Hg),33.64
2025/12/15,France,2014,"Chloro-alkanes, C10-C13",3.65
2025/12/15,France,2015,Vinyl chloride,79.8
2025/12/15,France,2018,Vinyl chloride,146
2025/12/15,France,2022,Trichloromethane,177.799998
2025/12/15,France,2023,Tetrachloroethylene,391
2025/12/15,Germany,2007,"1,2,3,4,5,6-hexachlorocyclohexane (HCH)",9.9
2025/12/15,Germany,2007,Fluorides (as total F),325760
2025/12/15,Germany,2008,Chlorides (as total Cl),325660000
2025/12/15,Germany,2008,Mercury and compounds (as Hg),1259.21
2025/12/15,Germany,2009,"Chloro-alkanes, C10-C13",2.31
2025/12/15,Germany,2009,Fluoranthene,114.97
2025/12/15,Germany,2012,"Chloro-alkanes, C10-C13",3.39
2025/12/15,Germany,2012,Fluoranthene,61.85
2025/12/15,Germany,2015,Fluoranthene,17.8
2025/12/15,Germany,2017,Octylphenols and Octylphenol ethoxylates,11.8
2025/12/15,Germany,2018,Fluoranthene,27.349999999999998
2025/12/15,Germany,2020,Octylphenols and Octylphenol ethoxylates,13.33
2025/12/15,Germany,2023,Octylphenols and Octylphenol ethoxylates,11.3
2025/12/15,Germany,2023,Trichloromethane,18
2025/12/15,Germany,2023,Xylenes,6147
2025/12/15,Germany,2024,Toluene,84013
2025/12/15,Greece,2007,Total organic carbon(as total C or COD/3) (TOC),223200
2025/12/15,Greece,2015,Arsenic and compounds (as As),20.3
2025/12/15,Greece,2017,Total nitrogen,183000
2025/12/15,Greece,2018,Arsenic and compounds (as As),7.63
2025/12/15,Greece,2020,Total nitrogen,354000
2025/12/15,Greece,2021,Arsenic and compounds (as As),27.8
2025/12/15,Greece,2023,Fluorides (as total F),2600
2025/12/15,Greece,2023,Total nitrogen,1032000
2025/12/15,Greece,2024,Arsenic and compounds (as As),137
2025/12/15,Hungary,2010,Copper and compounds (as Cu),58.1
2025/12/15,Hungary,2010,Mercury and compounds (as Hg),2.28
2025/12/15,Hungary,2012,Dichloromethane (DCM),8320
2025/12/15,Hungary,2017,Chromium and compounds (as Cr),371
2025/12/15,Hungary,2018,Total organic carbon(as total C or COD/3) (TOC),2334400
2025/12/15,Hungary,2020,Chromium and compounds (as Cr),324
2025/12/15,Hungary,2021,Total organic carbon(as total C or COD/3) (TOC),2723500
2025/12/15,Hungary,2023,Chromium and compounds (as Cr),75.1
2025/12/15,Hungary,2024,Total organic carbon(as total C or COD/3) (TOC),900700
2025/12/15,Ireland,2007,Total organic carbon(as total C or COD/3) (TOC),2876500
2025/12/15,Ireland,2008,Dichloromethane (DCM),427.5
2025/12/15,Ireland,2009,Arsenic and compounds (as As),8.1
2025/12/15,Ireland,2009,Zinc and compounds (as Zn),1281
2025/12/15,Ireland,2010,Total organic carbon(as total C or COD/3) (TOC),2682300
2025/12/15,Ireland,2011,Dichloromethane (DCM),47.2
2025/12/15,Ireland,2012,Zinc and compounds (as Zn),124
2025/12/15,Ireland,2014,Dichloromethane (DCM),37.6
2025/12/15,Ireland,2014,Fluorides (as total F),7480
2025/12/15,Ireland,2014,Phenols (as total C),822.3
2025/12/15,Ireland,2015,Arsenic and compounds (as As),8.7
2025/12/15,Ireland,2015,Chlorides (as total Cl),4100000
2025/12/15,Ireland,2015,Zinc and compounds (as Zn),377
2025/12/15,Ireland,2017,Fluorides (as total F),16500
2025/12/15,Ireland,2017,Phenols (as total C),1554.1
2025/12/15,Ireland,2017,Total nitrogen,413100
2025/12/15,Ireland,2018,Chlorides (as total Cl),4368259.42
2025/12/15,Ireland,2018,Zinc and compounds (as Zn),236.2
2025/12/15,Ireland,2020,Ethyl benzene,0.53
2025/12/15,Ireland,2020,Fluorides (as total F),25365.21
2025/12/15,Ireland,2020,Phenols (as total C),1259.5100000000002
2025/12/15,Ireland,2020,Total nitrogen,292725.56
2025/12/15,Ireland,2021,Chlorides (as total Cl),3435566.78
2025/12/15,Ireland,2021,Nonylphenol and Nonylphenol ethoxylates,461.7325
2025/12/15,Ireland,2023,Ethyl benzene,1
2025/12/15,Ireland,2023,Phenols (as total C),855.225644
2025/12/15,Ireland,2024,Nonylphenol and Nonylphenol ethoxylates,267.955
2025/12/15,Italy,2007,Isodrin,2.27
2025/12/15,Italy,2007,Lead and compounds (as Pb),7420.7
2025/12/15,Italy,2007,Nickel and compounds (as Ni),6450.7
2025/12/15,Italy,2008,Ethyl benzene,17356
2025/12/15,Italy,2008,Fluorides (as total F),60090
2025/12/15,Italy,2008,Phenols (as total C),68830.4
2025/12/15,Italy,2009,Chlorides (as total Cl),59590000
2025/12/15,Italy,2009,Cyanides (as total CN),3003.1
2025/12/15,Italy,2009,Heptachlor,3
2025/12/15,Italy,2009,Nonylphenol and Nonylphenol ethoxylates,2840
2025/12/15,Italy,2009,Trichlorobenzenes (TCB),2.2
2025/12/15,Italy,2010,Hexachlorobenzene (HCB),3
2025/12/15,Italy,2010,Isodrin,5.6
2025/12/15,Italy,2010,Nickel and compounds (as Ni),8131.499999999999
2025/12/15,Italy,2011,"1,2-dichloroethane (DCE-1,2)",451
2025/12/15,Italy,2011,Ethyl benzene,14139
2025/12/15,Italy,2012,Nonylphenol and Nonylphenol ethoxylates,2197
2025/12/15,Italy,2012,Trichlorobenzenes (TCB),3
2025/12/15,Italy,2013,Hexachlorobenzene (HCB),2.7
2025/12/15,Italy,2013,Isodrin,2.7
2025/12/15,Italy,2013,Nickel and compounds (as Ni),7088.8
2025/12/15,Italy,2014,"1,2-dichloroethane (DCE-1,2)",601
2025/12/15,Italy,2014,Ethyl benzene,7641
2025/12/15,Italy,2015,Naphthalene,2916
2025/12/15,Italy,2015,Nonylphenol and Nonylphenol ethoxylates,2192.25
2025/12/15,Italy,2015,Trichloromethane,44
2025/12/15,Italy,2017,"1,2-dichloroethane (DCE-1,2)",22.9
2025/12/15,Italy,2018,Naphthalene,1813.1835
2025/12/15,Italy,2018,Trichloroethylene (TRI),18.4245
2025/12/15,Italy,2018,Trichloromethane,158.20090000000002
2025/12/15,Italy,2020,"1,2-dichloroethane (DCE-1,2)",16.9632
2025/12/15,Italy,2021,Naphthalene,1383.3283999999999
2025/12/15,Italy,2021,Trichloroethylene (TRI),17.7952
2025/12/15,Italy,2021,Trichloromethane,133.1796
2025/12/15,Italy,2021,Xylenes,24432.9374
2025/12/15,Italy,2023,Endrin,3.4482
2025/12/15,Netherlands,2007,Anthracene,2
2025/12/15,Netherlands,2007,Arsenic and compounds (as As),117.88
2025/12/15,Netherlands,2007,Nickel and compounds (as Ni),717.6
2025/12/15,Netherlands,2007,Zinc and compounds (as Zn),4538
2025/12/15,Netherlands,2008,"1,2-dichloroethane (DCE-1,2)",170
2025/12/15,Netherlands,2008,Halogenated organic compounds (as AOX),5600
2025/12/15,Netherlands,2008,Lead and compounds (as Pb),296.6
2025/12/15,Netherlands,2008,Total organic carbon(as total C or COD/3) (TOC),19037800
2025/12/15,Netherlands,2008,Total phosphorus,1157950
2025/12/15,Netherlands,2009,Ethylene oxide,3400
2025/12/15,Netherlands,2009,Phenols (as total C),5872.2
2025/12/15,Netherlands,2010,Arsenic and compounds (as As),112.17
2025/12/15,Netherlands,2010,Chlorides (as total Cl),130470000
2025/12/15,Netherlands,2010,Nickel and compounds (as Ni),393.6
2025/12/15,Netherlands,2010,Zinc and compounds (as Zn),3767
2025/12/15,Netherlands,2011,"1,2-dichloroethane (DCE-1,2)",322
2025/12/15,Netherlands,2011,Halogenated organic compounds (as AOX),30400
2025/12/15,Netherlands,2011,Lead and compounds (as Pb),86.4
2025/12/15,Netherlands,2011,Total phosphorus,1056750
2025/12/15,Netherlands,2012,Naphthalene,60
2025/12/15,Netherlands,2012,Phenols (as total C),34001.2
2025/12/15,Netherlands,2013,Arsenic and compounds (as As),105.25999999999999
2025/12/15,Netherlands,2013,Chlorides (as total Cl),121900000
2025/12/15,Netherlands,2013,Zinc and compounds (as Zn),3674
2025/12/15,Netherlands,2014,"1,2-dichloroethane (DCE-1,2)",368
2025/12/15,Netherlands,2014,Halogenated organic compounds (as AOX),43100
2025/12/15,Netherlands,2014,Lead and compounds (as Pb),28
2025/12/15,Netherlands,2014,Tetrachloromethane (TCM),1.2
2025/12/15,Netherlands,2015,Ethyl benzene,966
2025/12/15,Netherlands,2015,Naphthalene,28
2025/12/15,Netherlands,2015,Phenols (as total C),5819
2025/12/15,Netherlands,2015,Trichloroethylene (TRI),22
2025/12/15,Netherlands,2016,Chlorides (as total Cl),113070000
2025/12/15,Netherlands,2016,Dichloromethane (DCM),99.8
2025/12/15,Netherlands,2016,PCDD + PCDF (dioxins + furans) (as Teq),0.003
2025/12/15,Netherlands,2016,Zinc and compounds (as Zn),2314
2025/12/15,Netherlands,2017,Lead and compounds (as Pb),22
2025/12/15,Netherlands,2017,Tetrachloromethane (TCM),2.2
