PublicationDate,countryName,reportingYear,EPRTR_SectorCode,EPRTR_SectorName,Pollutant,Releases
2025/12/15,Germany,2020,4,Chemical industry,Non-methane volatile organic compounds (NMVOC),5763000
2025/12/15,Sweden,2010,6,Paper and wood production and processing,Particulate matter (PM10),3884500
2025/12/15,Greece,2022,2,Production and processing of metals,Particulate matter (PM10),52000
2025/12/15,Italy,2007,2,Production and processing of metals,Ammonia (NH3),616000
2025/12/15,Spain,2009,1,Energy sector,Lead and compounds (as Pb),993
2025/12/15,Bulgaria,2020,6,Paper and wood production and processing,Nitrogen oxides (NOX),375217
2025/12/15,Latvia,2019,1,Energy sector,Nitrogen oxides (NOX),1314000
2025/12/15,Spain,2020,9,Other activities,Non-methane volatile organic compounds (NMVOC),10976000
2025/12/15,Italy,2007,4,Chemical industry,Ammonia (NH3),525500
2025/12/15,Slovenia,2009,3,Mineral industry,Ammonia (NH3),103400
2025/12/15,United Kingdom,2010,5,Waste and wastewater management,Benzene,30130
2025/12/15,Finland,2013,1,Energy sector,Chlorine and inorganic compounds (as HCl),968400
2025/12/15,Spain,2013,2,Production and processing of metals,Zinc and compounds (as Zn),94382
2025/12/15,Italy,2013,2,Production and processing of metals,Mercury and compounds (as Hg),694
2025/12/15,Greece,2016,2,Production and processing of metals,Nickel and compounds (as Ni),8470
2025/12/15,United Kingdom,2019,3,Mineral industry,Benzene,50120
2025/12/15,Spain,2017,5,Waste and wastewater management,Nitrogen oxides (NOX),3967000
2025/12/15,Slovakia,2008,3,Mineral industry,Carbon monoxide (CO),19079000
2025/12/15,Finland,2010,1,Energy sector,Chlorine and inorganic compounds (as HCl),1224100
2025/12/15,Spain,2020,4,Chemical industry,Naphthalene,278
2025/12/15,Denmark,2021,,,Methane (CH4),318540
2025/12/15,Belgium,2021,1,Energy sector,Hydro-fluorocarbons (HFCS),674
2025/12/15,Iceland,2020,3,Mineral industry,Particulate matter (PM10),3430
2025/12/15,Italy,2021,9,Other activities,Tetrachloroethylene,3049.12
2025/12/15,Sweden,2024,5,Waste and wastewater management,PCDD + PCDF (dioxins + furans) (as Teq),0
2025/12/15,Poland,2008,4,Chemical industry,Mercury and compounds (as Hg),189
2025/12/15,Poland,2009,3,Mineral industry,Carbon dioxide (CO2),11184000000
2025/12/15,Netherlands,2013,3,Mineral industry,Sulphur oxides (SOX),1347000
2025/12/15,Italy,2016,5,Waste and wastewater management,Carbon dioxide (CO2),5279000000
