country_code,nace_r2,year,dii_version,dii_high_share
LV,C24_C25,2020,2,0.059800000000000006
ME,C,2020,2,0.1507
ME,C16-C18,2020,2,0.057999999999999996
ME,C24_C25,2020,2,0.6667000000000001
MK,C,2020,2,0.0072
MK,C16-C18,2020,2,0.0
MK,C24_C25,2020,2,0.0
MT,C,2020,2,0.1275
MT,C16-C18,2020,2,0.1032
MT,C24_C25,2020,2,0.0875
NL,C,2020,2,0.2503
NL,C16-C18,2020,2,0.20509999999999998
NL,C24_C25,2020,2,0.1508
NO,C,2020,2,0.3907
NO,C16-C18,2020,2,0.42379999999999995
NO,C24_C25,2020,2,0.45099999999999996
PL,C,2020,2,0.0967
PL,C16-C18,2020,2,0.0757
PL,C24_C25,2020,2,0.0696
PT,C,2020,2,0.0875
PT,C16-C18,2020,2,0.0351
PT,C24_C25,2020,2,0.1222
RO,C,2020,2,0.0351
RO,C16-C18,2020,2,0.015
RO,C24_C25,2020,2,0.0558
RS,C,2020,2,0.0774
RS,C16-C18,2020,2,0.058600000000000006
RS,C24_C25,2020,2,0.1605
SE,C,2020,2,0.32189999999999996
SE,C16-C18,2020,2,0.27509999999999996
SE,C24_C25,2020,2,0.2618
SI,C,2020,2,0.1937
SI,C16-C18,2020,2,0.1051
SI,C24_C25,2020,2,0.105
SK,C,2020,2,0.0755
SK,C16-C18,2020,2,0.017
SK,C24_C25,2020,2,0.0389
UK,C,2020,2,0.1285
UK,C16-C18,2020,2,0.06359999999999999
UK,C24_C25,2020,2,0.0561
AT,C,2021,3,0.2748
AT,C16-C18,2021,3,0.1546
AT,C24_C25,2021,3,0.2395
BA,D35,2021,3,0.0
BE,C,2021,3,0.252
BE,C22_C23,2021,3,0.10710000000000001
BE,C24_C25,2021,3,0.10069999999999998
BG,C16-C18,2021,3,0.030299999999999997
BG,C24_C25,2021,3,0.026600000000000002
BG,D35,2021,3,0.1565
CY,C,2021,3,0.14679999999999999
CY,C16-C18,2021,3,0.10529999999999999
CY,C20,2021,3,0.27390000000000003
CY,C22_C23,2021,3,0.0666
CY,C24_C25,2021,3,0.0771
CY,D35,2021,3,0.3934
CZ,C,2021,3,0.1613
CZ,C16-C18,2021,3,0.1378
CZ,C19,2021,3,0.25
CZ,C20,2021,3,0.3665
CZ,C22_C23,2021,3,0.1493
CZ,C24_C25,2021,3,0.0806
CZ,D35,2021,3,0.17149999999999999
DE,C,2021,3,0.21650000000000003
DE,C16-C18,2021,3,0.21700000000000003
DE,C19,2021,3,0.8158
DE,C20,2021,3,0.3824
DE,C22_C23,2021,3,0.21030000000000001
DE,C24_C25,2021,3,0.1382
DE,D35,2021,3,0.502
DK,C,2021,3,0.3657
DK,C16-C18,2021,3,0.3881
DK,C19,2021,3,0.7893000000000001
DK,C20,2021,3,0.5901
DK,C22_C23,2021,3,0.373
DK,C24_C25,2021,3,0.1754
DK,D35,2021,3,0.5891000000000001
EE,C,2021,3,0.1302
EE,C16-C18,2021,3,0.1001
EE,C20,2021,3,0.2957
EE,C22_C23,2021,3,0.12719999999999998
EE,C24_C25,2021,3,0.0507
EE,D35,2021,3,0.2429
EL,C,2021,3,0.11720000000000001
EL,C16-C18,2021,3,0.049800000000000004
EL,C19,2021,3,0.16670000000000001
EL,C20,2021,3,0.2965
EL,C22_C23,2021,3,0.0874
EL,C24_C25,2021,3,0.061399999999999996
EL,D35,2021,3,0.4325
ES,C,2021,3,0.2127
ES,C24_C25,2021,3,0.1396
FI,C,2021,3,0.5431
FI,C24_C25,2021,3,0.41589999999999994
FR,C,2021,3,0.10769999999999999
FR,C16-C18,2021,3,0.1026
FR,C20,2021,3,0.1923
FR,C24_C25,2021,3,0.0639
HR,C,2021,3,0.1408
HR,C16-C18,2021,3,0.04939999999999999
HR,C20,2021,3,0.4403
HR,C24_C25,2021,3,0.0694
HR,D35,2021,3,0.2364
HU,C,2021,3,0.0822
HU,C16-C18,2021,3,0.1014
HU,C19,2021,3,0.3333
HU,C20,2021,3,0.0774
HU,C22_C23,2021,3,0.1008
HU,C24_C25,2021,3,0.0417
HU,D35,2021,3,0.17420000000000002
IE,C,2021,3,0.2951
IE,C16-C18,2021,3,0.3179
IE,C19,2021,3,0.0
IE,C20,2021,3,0.6429
IE,C22_C23,2021,3,0.27099999999999996
IE,C24_C25,2021,3,0.1928
IE,D35,2021,3,0.6667000000000001
IT,C,2021,3,0.1754
IT,C16-C18,2021,3,0.1617
IT,C22_C23,2021,3,0.11410000000000001
IT,C24_C25,2021,3,0.11349999999999999
IT,D35,2021,3,0.40299999999999997
LT,C,2021,3,0.172
LT,C16-C18,2021,3,0.1355
LT,C24_C25,2021,3,0.1144
LU,C,2021,3,0.2471
LU,C24_C25,2021,3,0.2147
LV,C,2021,3,0.1084
LV,C16-C18,2021,3,0.0429
LV,C20,2021,3,0.2343
LV,C22_C23,2021,3,0.115
LV,C24_C25,2021,3,0.11130000000000001
LV,D35,2021,3,0.09269999999999999
ME,C,2021,3,0.0341
ME,C16-C18,2021,3,0.035699999999999996
ME,C24_C25,2021,3,0.0
MK,C16-C18,2021,3,0.0285
MK,C20,2021,3,0.0256
MK,C22_C23,2021,3,0.0106
MK,D35,2021,3,0.0
MT,C,2021,3,0.22080000000000002
MT,C16-C18,2021,3,0.1574
MT,C22_C23,2021,3,0.2137
NL,C,2021,3,0.3248
NL,C16-C18,2021,3,0.3224
NL,C19,2021,3,0.775
NL,C20,2021,3,0.4618
NL,C22_C23,2021,3,0.3539
NL,C24_C25,2021,3,0.2586
